origin,destination,count,Cat
ae,gb,12,41,Pos
ae,us,17,Pos
ae,uz,0,23,Pos
ae,ve,0,11,Pos
ae,vn,0,6,Pos
ae,ps,0,79,Pos
ae,ye,0,19,Pos
ae,zw,0,32,Pos
af,au,2,18,Pos
af,br,3,36,Pos
af,ca,-1,1,Neg
af,cn,2,63,Pos
af,fr,2,74,Pos
af,de,0,56,Pos
af,in,3,47,Pos
af,id,0,45,Pos
af,ir,0,22,Pos
af,iq,-3,36,Neg
af,it,2,69,Pos
af,kw,-1,1,Neg
af,nl,1,34,Pos
af,pk,3,86,Pos
af,za,2,97,Pos
af,es,0,84,Pos
af,se,0,6,Pos
af,tr,0,84,Pos
af,ae,-2,57,Neg
af,gb,-1,57,Neg
af,us,-12,3,Neg
al,be,0,5,Pos
al,br,0,6,Pos
al,ca,-1,35,Neg
al,cn,2,84,Pos
al,fr,0,1,Pos
al,de,-3,84,Neg
al,gr,0,5,Pos
al,in,0,65,Pos
al,it,2,99,Pos
al,nl,0,1,Pos
al,ch,0,35,Pos
al,tr,0,Pos
al,gb,-1,89,Neg
al,us,6,88,Pos
am,ca,-2,81,Neg
am,fr,-1,41,Neg
am,de,-6,93,Neg
am,ir,0,4,Pos
am,ae,-2,51,Neg
am,gb,0,Pos
am,us,-3,31,Neg
ao,br,7,76,Pos
ao,ca,0,38,Pos
ao,cn,0,71,Pos
ao,fr,3,52,Pos
ao,in,1,76,Pos
ao,id,0,8,Pos
ao,it,0,59,Pos
ao,na,3,52,Pos
ao,ng,0,71,Pos
ao,pt,23,24,Pos
ao,za,3,94,Pos
ao,es,0,5,Pos
ao,ae,0,13,Pos
ao,gb,5,2,Pos
ao,us,22,1,Pos
ar,au,0,3,Pos
ar,at,0,1,Pos
ar,be,0,1,Pos
ar,bo,0,3,Pos
ar,br,0,18,Pos
ar,ca,0,2,Pos
ar,cl,0,98,Pos
ar,cn,0,5,Pos
ar,co,0,37,Pos
ar,cr,0,8,Pos
ar,dk,0,6,Pos
ar,do,0,3,Pos
ar,ec,0,13,Pos
ar,fr,0,25,Pos
ar,de,0,35,Pos
ar,in,0,4,Pos
ar,ie,0,16,Pos
ar,il,0,8,Pos
ar,it,0,5,Pos
ar,mx,0,42,Pos
ar,nl,0,13,Pos
ar,nz,0,23,Pos
ar,pa,0,13,Pos
ar,py,0,11,Pos
ar,pe,0,22,Pos
ar,es,0,13,Pos
ar,ch,0,7,Pos
ar,ae,0,8,Pos
ar,gb,0,2,Pos
ar,us,1,96,Pos
ar,uy,0,5,Pos
ar,ve,1,99,Pos
at,ar,0,1,Pos
at,au,0,64,Pos
at,be,0,48,Pos
at,ba,1,4,Pos
at,br,0,65,Pos
at,bg,0,74,Pos
at,ca,0,61,Pos
at,cn,0,7,Pos
at,hr,1,4,Pos
at,cz,0,49,Pos
at,dk,0,3,Pos
at,eg,0,28,Pos
at,fi,0,33,Pos
at,fr,1,53,Pos
at,de,0,95,Pos
at,gr,0,73,Pos
at,hk,0,6,Pos
at,hu,3,56,Pos
at,in,1,16,Pos
at,ir,1,13,Pos
at,ie,0,57,Pos
at,il,0,19,Pos
at,it,3,96,Pos
at,jp,0,1,Pos
at,lu,0,13,Pos
at,mx,0,21,Pos
at,nl,0,18,Pos
at,nz,0,1,Pos
at,no,0,24,Pos
at,pl,0,73,Pos
at,pt,0,31,Pos
at,ro,1,41,Pos
at,rs,1,49,Pos
at,sg,0,4,Pos
at,sk,1,99,Pos
at,si,1,68,Pos
at,za,0,1,Pos
at,es,1,4,Pos
at,se,0,1,Pos
at,ch,-2,83,Neg
at,th,0,15,Pos
at,tr,0,43,Pos
at,ua,1,16,Pos
at,ae,0,39,Pos
at,gb,0,34,Pos
at,us,2,49,Pos
au,af,0,5,Pos
au,ar,0,19,Pos
au,at,0,6,Pos
au,az,0,Pos
au,bh,0,3,Pos
au,bd,0,6,Pos
au,be,0,8,Pos
au,br,1,3,Pos
au,bg,0,4,Pos
au,kh,0,6,Pos
au,ca,0,14,Pos
au,cl,0,2,Pos
au,cn,1,23,Pos
au,co,0,24,Pos
au,hr,0,5,Pos
au,cy,0,2,Pos
au,cz,0,6,Pos
au,dk,0,16,Pos
au,ec,0,1,Pos
au,eg,0,18,Pos
au,ee,0,4,Pos
au,fj,0,6,Pos
au,fi,0,Pos
au,fr,0,25,Pos
au,de,0,41,Pos
au,gh,0,5,Pos
au,gr,0,7,Pos
au,hk,0,69,Pos
au,hu,0,4,Pos
au,in,9,52,Pos
au,id,0,14,Pos
au,ir,0,99,Pos
au,iq,0,4,Pos
au,ie,0,74,Pos
au,il,0,5,Pos
au,it,0,32,Pos
au,jp,0,1,Pos
au,jo,0,5,Pos
au,kz,0,1,Pos
au,ke,0,5,Pos
au,kr,0,8,Pos
au,kw,0,4,Pos
au,lb,0,1,Pos
au,lt,0,2,Pos
au,lu,0,1,Pos
au,my,0,22,Pos
au,mt,0,Pos
au,mu,0,2,Pos
au,mx,0,1,Pos
au,mn,0,1,Pos
au,mm,0,6,Pos
au,np,0,31,Pos
au,nl,0,13,Pos
au,nz,0,15,Pos
au,ng,0,15,Pos
au,no,0,12,Pos
au,om,0,8,Pos
au,pk,1,3,Pos
au,pg,0,58,Pos
au,pe,0,6,Pos
au,ph,0,97,Pos
au,pl,0,18,Pos
au,pt,0,8,Pos
au,qa,0,4,Pos
au,ro,0,7,Pos
au,sa,0,26,Pos
au,rs,0,5,Pos
au,sg,0,Pos
au,sk,0,5,Pos
au,za,1,31,Pos
au,es,0,25,Pos
au,lk,0,88,Pos
au,se,0,12,Pos
au,ch,0,6,Pos
au,tw,0,4,Pos
au,tz,0,2,Pos
au,th,0,14,Pos
au,tr,0,17,Pos
au,ua,0,1,Pos
au,ae,0,35,Pos
au,gb,0,8,Pos
au,us,3,41,Pos
au,ve,0,14,Pos
au,vn,0,11,Pos
au,zm,0,3,Pos
au,zw,0,6,Pos
az,au,0,17,Pos
az,ca,-1,82,Neg
az,cn,1,27,Pos
az,fr,0,28,Pos
az,ge,0,39,Pos
az,de,0,55,Pos
az,it,0,39,Pos
az,kz,0,33,Pos
az,nl,0,44,Pos
az,tr,-5,2,Neg
az,ua,0,55,Pos
az,ae,-3,21,Neg
az,gb,2,76,Pos
az,us,7,2,Pos
ba,at,-5,24,Neg
ba,hr,-4,5,Neg
ba,de,-8,91,Neg
ba,rs,-2,62,Neg
ba,tr,-1,5,Neg
ba,gb,0,37,Pos
ba,us,8,24,Pos
bd,au,-4,11,Neg
bd,ca,-3,57,Neg
bd,cn,0,39,Pos
bd,fr,0,9,Pos
bd,de,0,81,Pos
bd,hk,0,12,Pos
bd,in,0,41,Pos
bd,it,0,11,Pos
bd,jp,0,31,Pos
bd,kr,0,13,Pos
bd,my,0,63,Pos
bd,nl,0,8,Pos
bd,nz,0,45,Pos
bd,no,0,41,Pos
bd,qa,0,28,Pos
bd,sa,0,25,Pos
bd,sg,0,32,Pos
bd,lk,0,4,Pos
bd,se,0,13,Pos
bd,th,0,4,Pos
bd,tr,0,6,Pos
bd,ae,0,48,Pos
bd,gb,1,3,Pos
bd,us,9,71,Pos
be,al,0,4,Pos
be,dz,0,6,Pos
be,ar,0,2,Pos
be,au,0,25,Pos
be,at,0,13,Pos
be,bj,0,8,Pos
be,br,0,38,Pos
be,bg,0,16,Pos
be,cm,0,6,Pos
be,ca,0,27,Pos
be,cl,0,3,Pos
be,cn,0,Pos
be,co,0,6,Pos
be,cd,0,32,Pos
be,ci,0,3,Pos
be,hr,0,19,Pos
be,cy,0,1,Pos
be,cz,0,2,Pos
be,dk,0,13,Pos
be,eg,0,5,Pos
be,ee,0,1,Pos
be,fi,0,2,Pos
be,fr,4,3,Pos
be,de,0,85,Pos
be,gr,0,48,Pos
be,hk,0,1,Pos
be,hu,0,23,Pos
be,in,0,68,Pos
be,id,0,1,Pos
be,ir,0,5,Pos
be,ie,0,25,Pos
be,il,0,4,Pos
be,it,1,76,Pos
be,jp,0,8,Pos
be,ke,0,2,Pos
be,kr,0,4,Pos
be,lv,0,1,Pos
be,lb,0,9,Pos
be,lt,0,4,Pos
be,lu,-2,99,Neg
be,my,0,2,Pos
be,mt,0,Pos
be,mx,0,6,Pos
be,ma,0,5,Pos
be,nl,2,6,Pos
be,nz,0,7,Pos
be,no,0,1,Pos
be,pk,0,8,Pos
be,pe,0,2,Pos
be,ph,0,4,Pos
be,pl,0,6,Pos
be,pt,0,53,Pos
be,qa,0,7,Pos
be,ro,0,73,Pos
be,sa,0,1,Pos
be,sn,0,2,Pos
be,rs,0,1,Pos
be,sg,0,2,Pos
be,sk,0,4,Pos
be,si,0,7,Pos
be,za,0,4,Pos
be,es,0,3,Pos
be,se,0,12,Pos
be,ch,0,83,Pos
be,tw,0,5,Pos
be,th,0,9,Pos
be,tn,0,4,Pos
be,tr,0,18,Pos
be,ua,0,21,Pos
be,ae,0,49,Pos
be,gb,-1,51,Neg
be,us,1,2,Pos
be,vn,0,4,Pos
bf,ca,1,84,Pos
bf,ci,-1,46,Neg
bf,fr,6,51,Pos
bf,sn,0,78,Pos
bf,us,7,48,Pos
bg,au,0,62,Pos
bg,at,-1,3,Neg
bg,be,0,81,Pos
bg,ca,0,14,Pos
bg,cn,0,23,Pos
bg,cz,0,35,Pos
bg,dk,-1,16,Neg
bg,fr,0,87,Pos
bg,de,-6,21,Neg
bg,gr,0,35,Pos
bg,in,-1,3,Neg
bg,ie,-1,3,Neg
bg,it,0,56,Pos
bg,nl,-1,14,Neg
bg,no,0,25,Pos
bg,pl,0,43,Pos
bg,ro,0,29,Pos
bg,es,0,68,Pos
bg,se,0,54,Pos
bg,ch,0,81,Pos
bg,tr,0,81,Pos
bg,ua,0,87,Pos
bg,ae,0,83,Pos
bg,gb,-12,99,Neg
bg,us,4,65,Pos
bh,au,-1,11,Neg
bh,ca,-1,26,Neg
bh,eg,3,23,Pos
bh,fr,0,5,Pos
bh,in,36,85,Pos
bh,jo,1,6,Pos
bh,kw,0,76,Pos
bh,lb,0,3,Pos
bh,my,0,Pos
bh,om,0,Pos
bh,pk,8,88,Pos
bh,ph,3,8,Pos
bh,qa,-3,13,Neg
bh,sa,-5,Neg
bh,za,0,61,Pos
bh,ae,-10,95,Neg
bh,gb,5,35,Pos
bh,us,9,29,Pos
bj,be,-1,45,Neg
bj,ca,-4,42,Neg
bj,ci,-2,21,Neg
bj,fr,-11,5,Neg
bj,ng,0,15,Pos
bj,sn,-1,6,Neg
bj,us,13,2,Pos
bo,ar,0,42,Pos
bo,br,0,21,Pos
bo,ca,0,21,Pos
bo,cl,0,24,Pos
bo,co,0,1,Pos
bo,fr,0,16,Pos
bo,mx,0,5,Pos
bo,pe,0,3,Pos
bo,es,2,91,Pos
bo,us,1,99,Pos
br,af,0,3,Pos
br,al,0,1,Pos
br,ao,0,8,Pos
br,ar,0,4,Pos
br,au,0,42,Pos
br,at,0,2,Pos
br,be,0,4,Pos
br,bo,0,Pos
br,ca,0,59,Pos
br,cl,0,11,Pos
br,cn,0,1,Pos
br,co,0,6,Pos
br,cr,0,1,Pos
br,cz,0,Pos
br,dk,0,3,Pos
br,do,0,1,Pos
br,ec,0,1,Pos
br,fi,0,1,Pos
br,fr,0,4,Pos
br,de,0,32,Pos
br,hk,0,1,Pos
br,hu,0,3,Pos
br,in,0,2,Pos
br,id,0,1,Pos
br,ie,0,63,Pos
br,il,0,3,Pos
br,it,0,1,Pos
br,jp,0,2,Pos
br,kr,0,Pos
br,lu,0,1,Pos
br,my,0,Pos
br,mt,0,Pos
br,mx,0,11,Pos
br,mz,0,Pos
br,nl,0,1,Pos
br,nz,0,1,Pos
br,no,0,Pos
br,pa,0,4,Pos
br,py,0,2,Pos
br,pe,0,5,Pos
br,ph,0,Pos
br,pl,0,3,Pos
br,pt,0,51,Pos
br,qa,0,1,Pos
br,sa,0,1,Pos
br,sg,0,4,Pos
br,za,0,1,Pos
br,es,0,23,Pos
br,se,0,6,Pos
br,ch,0,11,Pos
br,th,0,1,Pos
br,tr,0,1,Pos
br,ae,0,9,Pos
br,gb,0,37,Pos
br,us,4,63,Pos
br,uy,0,2,Pos
br,ve,0,4,Pos
bs,ca,0,33,Pos
bs,gb,2,95,Pos
bs,us,10,71,Pos
bw,in,2,3,Pos
bw,za,6,8,Pos
bw,gb,15,88,Pos
bw,us,11,83,Pos
bw,zw,0,92,Pos
by,ca,0,42,Pos
by,cn,0,14,Pos
by,cz,0,Pos
by,de,-3,17,Neg
by,it,0,67,Pos
by,lt,0,99,Pos
by,pl,-3,2,Neg
by,tr,0,18,Pos
by,ua,3,8,Pos
by,ae,-1,2,Neg
by,gb,-1,3,Neg
by,us,-1,3,Neg
ca,af,0,2,Pos
ca,al,0,2,Pos
ca,dz,0,22,Pos
ca,ao,0,1,Pos
ca,ar,0,1,Pos
ca,am,0,2,Pos
ca,au,0,9,Pos
ca,at,0,4,Pos
ca,az,0,3,Pos
ca,bs,0,Pos
ca,bh,0,2,Pos
ca,bd,0,32,Pos
ca,by,0,1,Pos
ca,be,0,6,Pos
ca,bj,0,5,Pos
ca,bo,0,1,Pos
ca,br,1,14,Pos
ca,bg,0,1,Pos
ca,bf,0,2,Pos
ca,kh,0,1,Pos
ca,cm,0,12,Pos
ca,cl,0,1,Pos
ca,cn,0,96,Pos
ca,co,0,9,Pos
ca,cd,0,1,Pos
ca,cr,0,1,Pos
ca,ci,0,4,Pos
ca,hr,0,3,Pos
ca,cu,0,1,Pos
ca,cy,0,2,Pos
ca,cz,0,1,Pos
ca,dk,0,2,Pos
ca,do,0,4,Pos
ca,ec,0,4,Pos
ca,eg,0,3,Pos
ca,sv,0,2,Pos
ca,et,0,2,Pos
ca,fi,0,Pos
ca,fr,1,36,Pos
ca,de,0,25,Pos
ca,gh,0,9,Pos
ca,gr,0,7,Pos
ca,gt,0,Pos
ca,ht,0,3,Pos
ca,hn,0,1,Pos
ca,hk,0,12,Pos
ca,hu,0,2,Pos
ca,is,0,1,Pos
ca,in,6,72,Pos
ca,id,0,33,Pos
ca,ir,1,8,Pos
ca,iq,0,4,Pos
ca,ie,0,12,Pos
ca,il,0,24,Pos
ca,it,0,15,Pos
ca,jm,0,25,Pos
ca,jp,0,4,Pos
ca,jo,0,6,Pos
ca,kz,0,3,Pos
ca,ke,0,5,Pos
ca,kr,0,16,Pos
ca,kw,0,12,Pos
ca,lb,0,21,Pos
ca,ly,0,2,Pos
ca,lt,0,1,Pos
ca,lu,0,2,Pos
ca,mg,0,1,Pos
ca,my,0,1,Pos
ca,mu,0,5,Pos
ca,mx,0,5,Pos
ca,md,0,6,Pos
ca,ma,0,2,Pos
ca,np,0,9,Pos
ca,nl,0,1,Pos
ca,nz,0,4,Pos
ca,ni,0,1,Pos
ca,ng,0,66,Pos
ca,no,0,2,Pos
ca,om,0,7,Pos
ca,pk,0,88,Pos
ca,pa,0,4,Pos
ca,pe,0,1,Pos
ca,ph,0,83,Pos
ca,pl,0,2,Pos
ca,pt,0,2,Pos
ca,qa,0,8,Pos
ca,ro,0,12,Pos
ca,rw,0,1,Pos
ca,sa,0,6,Pos
ca,sn,0,4,Pos
ca,rs,0,8,Pos
ca,sg,0,2,Pos
ca,sk,0,Pos
ca,za,0,21,Pos
ca,es,0,4,Pos
ca,lk,0,7,Pos
ca,se,0,1,Pos
ca,ch,0,11,Pos
ca,sy,0,5,Pos
ca,tw,0,3,Pos
ca,tz,0,1,Pos
ca,th,0,2,Pos
ca,tt,0,Pos
ca,tn,0,22,Pos
ca,tr,0,15,Pos
ca,ug,0,2,Pos
ca,ua,0,35,Pos
ca,ae,0,61,Pos
ca,gb,0,17,Pos
ca,us,0,81,Pos
ca,ve,0,9,Pos
ca,vn,0,9,Pos
ca,zw,0,2,Pos
cd,be,5,33,Pos
cd,ca,-1,7,Neg
cd,fr,15,4,Pos
cd,in,3,27,Pos
cd,ke,3,6,Pos
cd,rw,10,47,Pos
cd,za,14,13,Pos
cd,ug,1,4,Pos
cd,gb,7,73,Pos
cd,us,34,27,Pos
ch,al,0,4,Pos
ch,ar,0,19,Pos
ch,au,0,26,Pos
ch,at,1,16,Pos
ch,be,1,27,Pos
ch,br,1,48,Pos
ch,bg,0,24,Pos
ch,ca,0,82,Pos
ch,cl,0,6,Pos
ch,cn,0,7,Pos
ch,co,0,3,Pos
ch,cr,0,1,Pos
ch,hr,0,2,Pos
ch,cz,0,65,Pos
ch,dk,0,14,Pos
ch,ec,0,11,Pos
ch,eg,0,9,Pos
ch,fi,0,24,Pos
ch,fr,36,12,Pos
ch,de,12,12,Pos
ch,gr,1,8,Pos
ch,hk,0,39,Pos
ch,hu,1,1,Pos
ch,in,1,29,Pos
ch,id,0,4,Pos
ch,ir,0,6,Pos
ch,ie,0,35,Pos
ch,il,0,1,Pos
